Persentil,N Fitur,Model,Fold,N Val Samples,Accuracy,F1 Macro,F1 Weighted,Precision Macro,Precision Weighted,Recall Macro,Recall Weighted
40,188,RandomForest,1,1856,0.9423,0.9312,0.9426,0.9276,0.944,0.9366,0.9423
40,188,RandomForest,2,1856,0.9477,0.9392,0.9479,0.9369,0.9488,0.9426,0.9477
40,188,RandomForest,3,1856,0.9526,0.9417,0.9526,0.9409,0.9529,0.9429,0.9526
40,188,RandomForest,4,1855,0.9396,0.9282,0.9399,0.9247,0.9409,0.9329,0.9396
40,188,RandomForest,5,1855,0.9412,0.931,0.9414,0.9277,0.9431,0.9365,0.9412
50,235,XGBoost,1,1856,0.9477,0.9369,0.9479,0.9342,0.9484,0.9401,0.9477
50,235,XGBoost,2,1856,0.9526,0.9442,0.9527,0.942,0.9531,0.9469,0.9526
50,235,XGBoost,3,1856,0.9526,0.9421,0.9527,0.9408,0.9528,0.9436,0.9526
50,235,XGBoost,4,1855,0.9456,0.9354,0.9457,0.9331,0.946,0.9379,0.9456
50,235,XGBoost,5,1855,0.9488,0.9397,0.9489,0.9374,0.9492,0.9424,0.9488
50,235,LightGBM,1,1856,0.9477,0.9369,0.9478,0.9346,0.9482,0.9394,0.9477
50,235,LightGBM,2,1856,0.952,0.9438,0.9521,0.9414,0.9525,0.9468,0.952
50,235,LightGBM,3,1856,0.9537,0.9432,0.9537,0.9424,0.9538,0.9441,0.9537
50,235,LightGBM,4,1855,0.9482,0.9386,0.9484,0.9358,0.9488,0.9418,0.9482
50,235,LightGBM,5,1855,0.9499,0.9401,0.95,0.9369,0.9506,0.9439,0.9499
50,235,RandomForest,1,1856,0.9445,0.9334,0.9448,0.9299,0.9462,0.9388,0.9445
50,235,RandomForest,2,1856,0.9477,0.9399,0.9478,0.9373,0.9488,0.9436,0.9477
50,235,RandomForest,3,1856,0.9504,0.9375,0.9504,0.9374,0.9507,0.9381,0.9504
50,235,RandomForest,4,1855,0.9412,0.9306,0.9414,0.9272,0.9422,0.935,0.9412
50,235,RandomForest,5,1855,0.9402,0.929,0.9404,0.9253,0.942,0.9346,0.9402
60,282,XGBoost,1,1856,0.9434,0.9308,0.9437,0.9282,0.9443,0.934,0.9434
60,282,XGBoost,2,1856,0.9499,0.9411,0.95,0.9391,0.9504,0.9436,0.9499
60,282,XGBoost,3,1856,0.952,0.9416,0.9521,0.9402,0.9523,0.9432,0.952
60,282,XGBoost,4,1855,0.9482,0.9386,0.9484,0.9355,0.9489,0.9422,0.9482
60,282,XGBoost,5,1855,0.9472,0.9384,0.9473,0.9357,0.9479,0.942,0.9472
60,282,LightGBM,1,1856,0.952,0.9426,0.9522,0.9404,0.9525,0.9452,0.952
60,282,LightGBM,2,1856,0.9499,0.9411,0.95,0.9388,0.9505,0.944,0.9499
60,282,LightGBM,3,1856,0.9564,0.947,0.9563,0.9469,0.9564,0.9473,0.9564
60,282,LightGBM,4,1855,0.9466,0.9366,0.9467,0.9342,0.9471,0.9393,0.9466
60,282,LightGBM,5,1855,0.9477,0.9378,0.9478,0.9348,0.9485,0.9417,0.9477
60,282,RandomForest,1,1856,0.944,0.9333,0.9442,0.9296,0.9455,0.9388,0.944
60,282,RandomForest,2,1856,0.9477,0.9392,0.9478,0.937,0.9486,0.9424,0.9477
60,282,RandomForest,3,1856,0.951,0.9389,0.951,0.9379,0.9515,0.9404,0.951
60,282,RandomForest,4,1855,0.9412,0.9302,0.9415,0.9262,0.9427,0.9355,0.9412
60,282,RandomForest,5,1855,0.9439,0.9337,0.9441,0.9294,0.9459,0.9403,0.9439
70,329,XGBoost,1,1856,0.9461,0.9349,0.9463,0.9323,0.9468,0.9379,0.9461
70,329,XGBoost,2,1856,0.952,0.9435,0.9521,0.9416,0.9528,0.9462,0.952
70,329,XGBoost,3,1856,0.9515,0.9414,0.9516,0.9401,0.9517,0.9429,0.9515
70,329,XGBoost,4,1855,0.9482,0.9383,0.9484,0.9355,0.9488,0.9416,0.9482
70,329,XGBoost,5,1855,0.9493,0.9395,0.9495,0.9364,0.9502,0.9435,0.9493
70,329,LightGBM,1,1856,0.9477,0.9365,0.9479,0.9343,0.9483,0.9391,0.9477
70,329,LightGBM,2,1856,0.951,0.9421,0.951,0.9408,0.9513,0.9439,0.951
70,329,LightGBM,3,1856,0.9526,0.9411,0.9526,0.941,0.9526,0.9413,0.9526
70,329,LightGBM,4,1855,0.9493,0.9398,0.9494,0.9375,0.9498,0.9425,0.9493
70,329,LightGBM,5,1855,0.9488,0.9391,0.9489,0.9361,0.9496,0.9431,0.9488
70,329,RandomForest,1,1856,0.944,0.9331,0.9442,0.9292,0.9459,0.9391,0.944
70,329,RandomForest,2,1856,0.9467,0.9382,0.9468,0.9358,0.9479,0.942,0.9467
70,329,RandomForest,3,1856,0.9488,0.9361,0.9489,0.9352,0.9495,0.9376,0.9488
70,329,RandomForest,4,1855,0.9402,0.9284,0.9404,0.9252,0.9414,0.9326,0.9402
70,329,RandomForest,5,1855,0.9434,0.9332,0.9436,0.9297,0.945,0.9386,0.9434
