Group,N Fitur,Model,Fold,N Val Samples,Accuracy,F1 Macro,F1 Weighted,Precision Macro,Precision Weighted,Recall Macro,Recall Weighted
30,65,LightGBM,5,2404,0.9871,0.9862,0.9871,0.9863,0.9871,0.986,0.9871
30,65,RandomForest,1,2405,0.983,0.9816,0.9829,0.9834,0.983,0.98,0.983
30,65,RandomForest,2,2405,0.9863,0.9852,0.9863,0.9868,0.9863,0.9838,0.9863
30,65,RandomForest,3,2405,0.9834,0.9821,0.9834,0.9824,0.9834,0.9819,0.9834
30,65,RandomForest,4,2405,0.9854,0.9843,0.9854,0.9859,0.9855,0.9829,0.9854
30,65,RandomForest,5,2404,0.9829,0.9816,0.9829,0.9834,0.983,0.9799,0.9829
40,86,XGBoost,1,2405,0.9859,0.9848,0.9859,0.9848,0.9859,0.9848,0.9859
40,86,XGBoost,2,2405,0.9888,0.9879,0.9888,0.9892,0.9888,0.9867,0.9888
40,86,XGBoost,3,2405,0.9888,0.988,0.9888,0.9878,0.9888,0.9881,0.9888
40,86,XGBoost,4,2405,0.9875,0.9866,0.9875,0.9878,0.9875,0.9855,0.9875
40,86,XGBoost,5,2404,0.9896,0.9888,0.9896,0.989,0.9896,0.9887,0.9896
40,86,LightGBM,1,2405,0.9875,0.9866,0.9875,0.9866,0.9875,0.9866,0.9875
40,86,LightGBM,2,2405,0.9892,0.9884,0.9892,0.99,0.9892,0.9868,0.9892
40,86,LightGBM,3,2405,0.9863,0.9853,0.9863,0.9852,0.9863,0.9854,0.9863
40,86,LightGBM,4,2405,0.9875,0.9866,0.9875,0.9873,0.9875,0.9859,0.9875
40,86,LightGBM,5,2404,0.9879,0.9871,0.9879,0.9869,0.9879,0.9872,0.9879
40,86,RandomForest,1,2405,0.9846,0.9834,0.9846,0.985,0.9846,0.982,0.9846
40,86,RandomForest,2,2405,0.9892,0.9883,0.9892,0.9908,0.9893,0.9861,0.9892
40,86,RandomForest,3,2405,0.985,0.9839,0.985,0.9846,0.985,0.9832,0.985
40,86,RandomForest,4,2405,0.9867,0.9857,0.9867,0.9878,0.9868,0.9836,0.9867
40,86,RandomForest,5,2404,0.9838,0.9826,0.9838,0.9836,0.9838,0.9815,0.9838
50,108,XGBoost,1,2405,0.9854,0.9844,0.9855,0.9841,0.9855,0.9847,0.9854
50,108,XGBoost,2,2405,0.9875,0.9866,0.9875,0.9873,0.9875,0.9859,0.9875
50,108,XGBoost,3,2405,0.9888,0.988,0.9888,0.9874,0.9888,0.9885,0.9888
50,108,XGBoost,4,2405,0.9875,0.9866,0.9875,0.9878,0.9875,0.9855,0.9875
50,108,XGBoost,5,2404,0.9908,0.9902,0.9908,0.9906,0.9908,0.9897,0.9908
50,108,LightGBM,1,2405,0.9884,0.9875,0.9884,0.9873,0.9884,0.9877,0.9884
50,108,LightGBM,2,2405,0.9892,0.9884,0.9892,0.9891,0.9892,0.9877,0.9892
50,108,LightGBM,3,2405,0.9896,0.9888,0.9896,0.9887,0.9896,0.989,0.9896
50,108,LightGBM,4,2405,0.9884,0.9875,0.9883,0.9882,0.9884,0.9868,0.9884
50,108,LightGBM,5,2404,0.9896,0.9888,0.9896,0.9892,0.9896,0.9885,0.9896
50,108,RandomForest,1,2405,0.9842,0.983,0.9842,0.9851,0.9843,0.981,0.9842
50,108,RandomForest,2,2405,0.9896,0.9888,0.9896,0.9914,0.9897,0.9864,0.9896
50,108,RandomForest,3,2405,0.9842,0.983,0.9842,0.9842,0.9842,0.9819,0.9842
50,108,RandomForest,4,2405,0.9867,0.9857,0.9867,0.9878,0.9868,0.9836,0.9867
50,108,RandomForest,5,2404,0.985,0.9839,0.985,0.9851,0.985,0.9828,0.985
60,129,XGBoost,1,2405,0.9867,0.9857,0.9867,0.9855,0.9867,0.986,0.9867
60,129,XGBoost,2,2405,0.9875,0.9866,0.9875,0.9873,0.9875,0.9859,0.9875
60,129,XGBoost,3,2405,0.9888,0.988,0.9888,0.9876,0.9888,0.9883,0.9888
60,129,XGBoost,4,2405,0.9884,0.9875,0.9883,0.9887,0.9884,0.9863,0.9884
60,129,XGBoost,5,2404,0.99,0.9893,0.99,0.9897,0.99,0.9888,0.99
60,129,LightGBM,1,2405,0.9896,0.9888,0.9896,0.989,0.9896,0.9887,0.9896
60,129,LightGBM,2,2405,0.99,0.9893,0.99,0.9907,0.99,0.9879,0.99
60,129,LightGBM,3,2405,0.99,0.9893,0.99,0.9893,0.99,0.9893,0.99
60,129,LightGBM,4,2405,0.99,0.9893,0.99,0.9909,0.9901,0.9877,0.99
60,129,LightGBM,5,2404,0.9908,0.9902,0.9908,0.9906,0.9908,0.9897,0.9908
60,129,RandomForest,1,2405,0.9859,0.9848,0.9858,0.9864,0.9859,0.9832,0.9859
60,129,RandomForest,2,2405,0.99,0.9892,0.99,0.9914,0.9901,0.9872,0.99
60,129,RandomForest,3,2405,0.983,0.9817,0.9829,0.9825,0.9829,0.9809,0.983
60,129,RandomForest,4,2405,0.9879,0.987,0.9879,0.9891,0.988,0.9851,0.9879
60,129,RandomForest,5,2404,0.9829,0.9816,0.9829,0.9829,0.9829,0.9804,0.9829
70,151,XGBoost,1,2405,0.9863,0.9853,0.9863,0.985,0.9863,0.9856,0.9863
70,151,XGBoost,2,2405,0.9888,0.9879,0.9888,0.989,0.9888,0.9869,0.9888
70,151,XGBoost,3,2405,0.9904,0.9897,0.9904,0.9896,0.9904,0.9899,0.9904
70,151,XGBoost,4,2405,0.9875,0.9866,0.9875,0.9875,0.9875,0.9857,0.9875
70,151,XGBoost,5,2404,0.9908,0.9902,0.9908,0.9904,0.9908,0.9899,0.9908
70,151,LightGBM,1,2405,0.9896,0.9888,0.9896,0.9887,0.9896,0.989,0.9896
70,151,LightGBM,2,2405,0.99,0.9893,0.99,0.9904,0.99,0.9881,0.99
70,151,LightGBM,3,2405,0.9896,0.9888,0.9896,0.9887,0.9896,0.989,0.9896
70,151,LightGBM,4,2405,0.9892,0.9884,0.9892,0.9896,0.9892,0.9872,0.9892
70,151,LightGBM,5,2404,0.9904,0.9897,0.9904,0.9903,0.9904,0.9891,0.9904
70,151,RandomForest,1,2405,0.9859,0.9848,0.9858,0.9869,0.9859,0.9827,0.9859
70,151,RandomForest,2,2405,0.9888,0.9879,0.9887,0.9902,0.9889,0.9857,0.9888
70,151,RandomForest,3,2405,0.9854,0.9844,0.9854,0.9849,0.9854,0.9838,0.9854
70,151,RandomForest,4,2405,0.9871,0.9861,0.9871,0.9879,0.9871,0.9844,0.9871
70,151,RandomForest,5,2404,0.9834,0.9821,0.9833,0.9833,0.9834,0.981,0.9834
